RMSE,MAE,R2,Bias,Target,Model,Subset
2.0635922902079153,1.6414480059711483,0.706995845853654,-0.564961160413545,PM2.5,Mechanistic only,All test weeks 2023-2024
2.835066540047101,2.3728998165299457,0.1991154240500117,-2.1783276798588456,PM2.5,Mechanistic only,Smoke-event weeks
1.8450251786420444,1.471591401362597,0.7657764392644151,0.03153645840408815,PM2.5,Pure AI,All test weeks 2023-2024
1.9861000330628638,1.5558642298765186,0.6069519425244108,-0.10781780083341058,PM2.5,Pure AI,Smoke-event weeks
1.7869543952404636,1.4325579477927575,0.7802884324826223,0.03462208368603475,PM2.5,Hybrid mechanistic + AI residual,All test weeks 2023-2024
1.8194679903619835,1.437726556924796,0.6701380241905174,-0.08326032305809586,PM2.5,Hybrid mechanistic + AI residual,Smoke-event weeks
6.356155437163475,4.979158485186075,0.7587173017219613,0.21194105727174767,Ozone,Mechanistic only,All test weeks 2023-2024
9.111342506385043,7.6029373883122,-1.4288921511342272,-7.439456691350397,Ozone,Mechanistic only,Heat/ozone-event weeks
5.380861771806569,4.197716098546949,0.8270817490813566,-0.4617216280044226,Ozone,Pure AI,All test weeks 2023-2024
6.0596912546318755,5.086670441976507,-0.07434676522464145,-4.2346230714801765,Ozone,Pure AI,Heat/ozone-event weeks
5.23412296534356,4.090386519121746,0.8363842885004054,-0.4523162368422988,Ozone,Hybrid mechanistic + AI residual,All test weeks 2023-2024
5.567702673872085,4.504744804664264,0.0930244985380686,-3.480260596352516,Ozone,Hybrid mechanistic + AI residual,Heat/ozone-event weeks
4.051657930323677,3.2890023148904257,0.6314498727462023,-1.9829778419041875,NO2,Mechanistic only,All test weeks 2023-2024
4.228071214124329,3.5010912312286537,-0.2629935992289061,-2.8433697820332773,NO2,Mechanistic only,High-traffic weeks
3.5688604885388333,2.839130993834324,0.714049958612359,0.3720372653380425,NO2,Pure AI,All test weeks 2023-2024
3.168413337634399,2.499559063575675,0.2907485570603452,0.1272926073048416,NO2,Pure AI,High-traffic weeks
3.4807692800009984,2.790235573600136,0.7279921133676065,0.10302698812794973,NO2,Hybrid mechanistic + AI residual,All test weeks 2023-2024
3.120466794472964,2.489183673835208,0.312051871634507,-0.012420189504372877,NO2,Hybrid mechanistic + AI residual,High-traffic weeks
